x,y,z,xt,yt,zt
0.077085, 0.052284, -0.391026, , , 
0.034472, -0.053778, -0.614065, , , 
0.040059, -0.021342, -0.609384, , , 
0.071913, 0.071405, -0.374841, , , 
0.061269, 0.032211, -0.459419, , , 
0.060462, 0.001025, -0.547089, , , 
-0.078702, -0.148511, -0.881552, , , 
0.020786, 0.041486, -0.459434, , , 
-0.091190, -0.190766, -0.914453, , , 
-0.077669, -0.089191, -0.737890, , , 
-0.005431, -0.149003, -0.805593, , , 
-0.080959, 0.017665, -0.692777, , , 
0.075763, 0.052219, -0.402708, , , 
0.049056, 0.073539, -0.413710, , , 
0.032997, -0.055410, -0.609210, , , 
-0.180178, -0.066261, -0.841399, , , 
0.054573, 0.054065, -0.420166, , , 
0.069796, 0.068966, -0.373762, , , 
0.115916, -0.102200, -0.609174, , , 
-0.073619, -0.131800, -0.853484, , , 
0.056647, 0.059271, -0.419644, , , 
-0.010706, 0.039928, -0.515087, , , 
-0.062768, -0.054855, -0.730440, , , 
0.003374, -0.167886, -0.830345, , , 
0.054292, 0.060331, -0.438136, , , 
-0.032516, -0.181761, -0.852502, , , 
-0.115577, -0.001745, -0.754413, , , 
-0.146720, -0.276019, -1.103610, , , 
-0.030049, 0.053627, -0.513372, , , 
0.005693, 0.060820, -0.489883, , , 
-0.040192, -0.174449, -0.830709, , , 
0.087959, 0.036720, -0.393357, , , 
0.049134, 0.060931, -0.428027, , , 
0.075109, 0.052183, -0.413214, , , 
0.025694, 0.062607, -0.448371, , , 
0.077011, 0.052224, -0.397815, , , 
-0.223165, -0.280619, -1.214211, , , 
0.085904, 0.036583, -0.406325, , , 
-0.117231, -0.002225, -0.763254, , , 
0.058829, 0.031675, -0.484253, , , 
-0.056956, -0.103059, -0.781969, , , 
0.045435, 0.047691, -0.418143, , , 
0.073394, 0.061340, -0.369466, , , 
0.072840, 0.067536, -0.350724, , , 
0.014596, 0.046655, -0.484275, , , 
0.071620, 0.061655, -0.381366, , , 
-0.092423, -0.132514, -0.842468, , , 
-0.072509, 0.017735, -0.706643, , , 
-0.043300, -0.195920, -0.923309, , , 
0.065137, 0.080277, -0.386743, , , 
0.085547, 0.045274, -0.408326, , , 
0.118227, -0.100092, -0.581551, , , 
-0.090318, -0.211516, -0.933940, , , 
-0.012667, -0.095988, -0.732091, , , 
0.073579, 0.060684, -0.375386, , , 
-0.062706, 0.002960, -0.701415, , , 
0.085584, 0.045449, -0.407541, , , 
0.070832, -0.118312, -0.679705, , , 
-0.165465, -0.080499, -0.803349, , , 
0.121896, -0.066980, -0.484142, , , 
-0.195968, -0.060075, -0.787365, , , 
0.069621, 0.068818, -0.375293, , , 
0.032764, 0.070190, -0.433519, , , 
0.081232, -0.102350, -0.546496, , , 
-0.077652, -0.098597, -0.759314, , , 
0.076028, -0.115408, -0.651265, , , 
-0.144270, -0.170596, -0.927028, , , 
-0.099122, -0.053639, -0.744944, , , 
-0.085454, -0.180603, -0.904584, , , 
0.105640, 0.034544, -0.381871, , , 
